community,region,country,latitude,longitude,type,scenario,resolution,unit,DATE,PMAT
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2038-12-01,3.19
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2039-01-01,0.2
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2039-02-01,0.72
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2039-03-01,5.75
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2039-04-01,6.49
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2039-05-01,10.41
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2039-06-01,14.58
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2039-07-01,17.41
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2039-08-01,15.57
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2039-09-01,12.34
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2039-10-01,7.11
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2039-11-01,5.18
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2039-12-01,4.71
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2040-01-01,1.37
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2040-02-01,4.55
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2040-03-01,3.49
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2040-04-01,5.75
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2040-05-01,9.32
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2040-06-01,13.67
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2040-07-01,14.96
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2040-08-01,15.48
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2040-09-01,13.22
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2040-10-01,8.09
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2040-11-01,3.73
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2040-12-01,-0.28
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2041-01-01,1.19
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2041-02-01,0.49
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2041-03-01,1.04
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2041-04-01,5.82
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2041-05-01,9.94
Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp60,2km,C,2041-06-01,13.95
