"","pond_name","Decade","Scenario","Model","month","mean_med_temp"
"324","EYS","2060s","4.5","CRD45",12,9.10991227197141
"325","EYS","2060s","8.5","CRD85",1,9.14032626277011
"326","EYS","2060s","8.5","CRD85",2,7.8999703439158
"327","EYS","2060s","8.5","CRD85",3,8.29344432966593
"328","EYS","2060s","8.5","CRD85",4,9.73257754846539
"329","EYS","2060s","8.5","CRD85",5,12.489035507892
"330","EYS","2060s","8.5","CRD85",6,14.6658897200641
"331","EYS","2060s","8.5","CRD85",7,17.5819420946034
"332","EYS","2060s","8.5","CRD85",8,17.9925979888753
"333","EYS","2060s","8.5","CRD85",9,17.1218914139312
"334","EYS","2060s","8.5","CRD85",10,17.4508385607018
"335","EYS","2060s","8.5","CRD85",11,14.3709293856075
"336","EYS","2060s","8.5","CRD85",12,11.5867434440843
"337","EYS","2090s","4.5","CRD45",1,10.1500224783726
"338","EYS","2090s","4.5","CRD45",2,8.48378095848508
"339","EYS","2090s","4.5","CRD45",3,8.42262316281646
"340","EYS","2090s","4.5","CRD45",4,11.6283325793058
"341","EYS","2090s","4.5","CRD45",5,13.6904405908652
"342","EYS","2090s","4.5","CRD45",6,15.4939233862306
"343","EYS","2090s","4.5","CRD45",7,17.1322002140671
"344","EYS","2090s","4.5","CRD45",8,18.0527159187639
"345","EYS","2090s","4.5","CRD45",9,17.1370324454351
"346","EYS","2090s","4.5","CRD45",10,15.3227468922804
"347","EYS","2090s","4.5","CRD45",11,13.1815376679641
"348","EYS","2090s","4.5","CRD45",12,11.8795691656397
"349","EYS","2090s","8.5","CRD85",1,13.1809382529866
"350","EYS","2090s","8.5","CRD85",2,10.7269067764852
"351","EYS","2090s","8.5","CRD85",3,11.4784978443881
"352","EYS","2090s","8.5","CRD85",4,13.2308265216887
"353","EYS","2090s","8.5","CRD85",5,16.0177690598976
"354","EYS","2090s","8.5","CRD85",6,17.2347140191061
"355","EYS","2090s","8.5","CRD85",7,20.4094317646522
"356","EYS","2090s","8.5","CRD85",8,20.1989731286271
"357","EYS","2090s","8.5","CRD85",9,19.2414625270819
"358","EYS","2090s","8.5","CRD85",10,21.1088980854293
"359","EYS","2090s","8.5","CRD85",11,17.2457149350607
"360","EYS","2090s","8.5","CRD85",12,14.6824853364252
"361","EYS","Other","4.5","CRD45",1,6.2768333536379
"362","EYS","Other","4.5","CRD45",2,5.83239751109139
"363","EYS","Other","4.5","CRD45",3,5.34786674778781
"364","EYS","Other","4.5","CRD45",4,7.48537774630822
"365","EYS","Other","4.5","CRD45",5,10.4214300844475
"366","EYS","Other","4.5","CRD45",6,13.1106367042894
"367","EYS","Other","4.5","CRD45",7,14.9779091076044
"368","EYS","Other","4.5","CRD45",8,15.7530504593351
"369","EYS","Other","4.5","CRD45",9,14.8452109539856
"370","EYS","Other","4.5","CRD45",10,12.5792802328936
"371","EYS","Other","4.5","CRD45",11,9.60012437948926
"372","EYS","Other","4.5","CRD45",12,7.57386249165233
"373","EYS","Other","8.5","CRD85",1,7.48890772461354
"374","EYS","Other","8.5","CRD85",2,6.20046587380238
"375","EYS","Other","8.5","CRD85",3,6.55369018196702
"376","EYS","Other","8.5","CRD85",4,7.95870961900278
"377","EYS","Other","8.5","CRD85",5,11.0909940400308
"378","EYS","Other","8.5","CRD85",6,13.6910981079985
"379","EYS","Other","8.5","CRD85",7,16.1980351788103
"380","EYS","Other","8.5","CRD85",8,16.6595520955331
"381","EYS","Other","8.5","CRD85",9,15.7366886892388
"382","EYS","Other","8.5","CRD85",10,15.1204151717714
"383","EYS","Other","8.5","CRD85",11,11.8458618427791
"384","EYS","Other","8.5","CRD85",12,9.27081270323385
"385","MP1","2030s","4.5","YF45",1,4.79669647179774
"386","MP1","2030s","4.5","YF45",2,4.71038005392661
"387","MP1","2030s","4.5","YF45",3,3.75822037528225
"388","MP1","2030s","4.5","YF45",4,4.98729404088633
"389","MP1","2030s","4.5","YF45",5,7.88915333703985
"390","MP1","2030s","4.5","YF45",6,11.0795074654987
"391","MP1","2030s","4.5","YF45",7,13.9074894518825
"392","MP1","2030s","4.5","YF45",8,15.2507392614107
"393","MP1","2030s","4.5","YF45",9,14.2882749655124
"394","MP1","2030s","4.5","YF45",10,11.8745259249959
"395","MP1","2030s","4.5","YF45",11,8.1584322923225
"396","MP1","2030s","4.5","YF45",12,6.59753970813535
"397","MP1","2030s","8.5","YF85",1,0.416777294501044
"398","MP1","2030s","8.5","YF85",2,0.0747308863087589
"399","MP1","2030s","8.5","YF85",3,0.97687095203977
"400","MP1","2030s","8.5","YF85",4,3.43513022017079
"401","MP1","2030s","8.5","YF85",5,6.66527130965306
"402","MP1","2030s","8.5","YF85",6,10.4365042858438
"403","MP1","2030s","8.5","YF85",7,13.516193630604
"404","MP1","2030s","8.5","YF85",8,14.829514636005
"405","MP1","2030s","8.5","YF85",9,13.9527051663071
"406","MP1","2030s","8.5","YF85",10,10.7962166114141
"407","MP1","2030s","8.5","YF85",11,6.17105169941132
"408","MP1","2030s","8.5","YF85",12,2.81309897801309
"409","MP1","2060s","4.5","YF45",1,6.51722569472634
"410","MP1","2060s","4.5","YF45",2,5.75209802423243
"411","MP1","2060s","4.5","YF45",3,5.22648797464997
"412","MP1","2060s","4.5","YF45",4,7.67487208864888
"413","MP1","2060s","4.5","YF45",5,10.6205137762981
"414","MP1","2060s","4.5","YF45",6,13.143374066226
"415","MP1","2060s","4.5","YF45",7,15.6393842936928
"416","MP1","2060s","4.5","YF45",8,16.4996644175563
"417","MP1","2060s","4.5","YF45",9,15.4981384832588
"418","MP1","2060s","4.5","YF45",10,13.2761022552064
"419","MP1","2060s","4.5","YF45",11,10.0137856845683
"420","MP1","2060s","4.5","YF45",12,7.66199140739656
"421","MP1","2060s","8.5","YF85",1,1.7970046956602
"422","MP1","2060s","8.5","YF85",2,2.04101329381505
"423","MP1","2060s","8.5","YF85",3,2.73533958315244
"424","MP1","2060s","8.5","YF85",4,5.01792471336392
"425","MP1","2060s","8.5","YF85",5,8.2576059474873
"426","MP1","2060s","8.5","YF85",6,12.0942424889037
"427","MP1","2060s","8.5","YF85",7,15.2067067053123
"428","MP1","2060s","8.5","YF85",8,16.3948453342856
"429","MP1","2060s","8.5","YF85",9,15.3279963792155
"430","MP1","2060s","8.5","YF85",10,12.441558581507
"431","MP1","2060s","8.5","YF85",11,8.31256733115691
"432","MP1","2060s","8.5","YF85",12,4.36514803265026
"433","MP1","2090s","4.5","YF45",1,7.83198466611388
"434","MP1","2090s","4.5","YF45",2,6.44575165165301
"435","MP1","2090s","4.5","YF45",3,6.25019562277701
"436","MP1","2090s","4.5","YF45",4,8.58605872570562
"437","MP1","2090s","4.5","YF45",5,11.3045736725144
"438","MP1","2090s","4.5","YF45",6,14.1401466735033
"439","MP1","2090s","4.5","YF45",7,16.6433645147745
"440","MP1","2090s","4.5","YF45",8,17.7808236216015
"441","MP1","2090s","4.5","YF45",9,16.5821051445867
"442","MP1","2090s","4.5","YF45",10,14.3659478919596
"443","MP1","2090s","4.5","YF45",11,11.4269790812113
"444","MP1","2090s","4.5","YF45",12,9.81613443109165
"445","MP1","2090s","8.5","YF85",1,3.50852653138187
"446","MP1","2090s","8.5","YF85",2,3.26649074514367
"447","MP1","2090s","8.5","YF85",3,4.14419633965413
"448","MP1","2090s","8.5","YF85",4,6.43678808835883
"449","MP1","2090s","8.5","YF85",5,9.71909617174278
"450","MP1","2090s","8.5","YF85",6,13.5757283888325
"451","MP1","2090s","8.5","YF85",7,16.5832871348517
"452","MP1","2090s","8.5","YF85",8,17.790999986025
"453","MP1","2090s","8.5","YF85",9,16.8032364326087
"454","MP1","2090s","8.5","YF85",10,13.8573437379092
"455","MP1","2090s","8.5","YF85",11,9.65304184789409
"456","MP1","2090s","8.5","YF85",12,5.90988427054108
"457","MP1","Other","4.5","YF45",1,4.85510166046247
"458","MP1","Other","4.5","YF45",2,4.35954513870731
"459","MP1","Other","4.5","YF45",3,3.80015425049394
"460","MP1","Other","4.5","YF45",4,5.68055190834774
"461","MP1","Other","4.5","YF45",5,8.95046335589877
"462","MP1","Other","4.5","YF45",6,12.0047712648859
"463","MP1","Other","4.5","YF45",7,14.4643704710633
"464","MP1","Other","4.5","YF45",8,15.5261844994765
"465","MP1","Other","4.5","YF45",9,14.4020821365862
"466","MP1","Other","4.5","YF45",10,12.0026473316393
"467","MP1","Other","4.5","YF45",11,8.47250324481644
"468","MP1","Other","4.5","YF45",12,6.24191721641422
