year,month,model,temperature,rcp,site,date
2023,Jun,Model1,6.45291538965783,4.5,CRD,2023-06-01
2023,Jul,Model1,9.16984405601937,4.5,CRD,2023-07-01
2023,Aug,Model1,11.4040241644039,4.5,CRD,2023-08-01
2023,Sep,Model1,10.7415870397897,4.5,CRD,2023-09-01
2023,Oct,Model1,7.55150391090209,4.5,CRD,2023-10-01
2023,Nov,Model1,3.10326637256396,4.5,CRD,2023-11-01
2013,Dec,Model1,3.94,4.5,CRD,2013-12-01
2023,Dec,Model1,1.65846593231847,4.5,CRD,2023-12-01
2024,Jan,Model1,2.7577345611189,4.5,CRD,2024-01-01
2024,Feb,Model1,2.94613021058377,4.5,CRD,2024-02-01
2024,Mar,Model1,3.69887706623603,4.5,CRD,2024-03-01
2024,Apr,Model1,3.96046442911555,4.5,CRD,2024-04-01
2024,May,Model1,6.19754573731024,4.5,CRD,2024-05-01
2024,Jun,Model1,9.3470012863528,4.5,CRD,2024-06-01
2024,Jul,Model1,11.8605682277788,4.5,CRD,2024-07-01
2024,Aug,Model1,13.2252799642686,4.5,CRD,2024-08-01
2024,Sep,Model1,12.0029562115707,4.5,CRD,2024-09-01
2014,Jan,Model1,2.56,4.5,CRD,2014-01-01
2024,Oct,Model1,10.2704858321794,4.5,CRD,2024-10-01
2024,Nov,Model1,9.22751536729793,4.5,CRD,2024-11-01
2024,Dec,Model1,5.61184750915082,4.5,CRD,2024-12-01
2025,Jan,Model1,1.75046898008093,4.5,CRD,2025-01-01
2025,Feb,Model1,3.25230067650724,4.5,CRD,2025-02-01
2025,Mar,Model1,3.03572435826975,4.5,CRD,2025-03-01
2025,Apr,Model1,2.61183012474245,4.5,CRD,2025-04-01
2025,May,Model1,5.66773154733004,4.5,CRD,2025-05-01
2025,Jun,Model1,8.3710811560632,4.5,CRD,2025-06-01
2025,Jul,Model1,10.5194369499086,4.5,CRD,2025-07-01
2014,Feb,Model1,2.02,4.5,CRD,2014-02-01
2025,Aug,Model1,12.6036682668453,4.5,CRD,2025-08-01
2025,Sep,Model1,11.9654653594582,4.5,CRD,2025-09-01
2025,Oct,Model1,10.5189577941712,4.5,CRD,2025-10-01
2025,Nov,Model1,3.68332927500799,4.5,CRD,2025-11-01
2025,Dec,Model1,3.08662806761476,4.5,CRD,2025-12-01
2026,Jan,Model1,0.840546274101306,4.5,CRD,2026-01-01
2026,Feb,Model1,2.49867783502073,4.5,CRD,2026-02-01
2026,Mar,Model1,2.04792797980086,4.5,CRD,2026-03-01
2026,Apr,Model1,3.46967120981795,4.5,CRD,2026-04-01
2026,May,Model1,6.45540805632251,4.5,CRD,2026-05-01
2014,Mar,Model1,1.63,4.5,CRD,2014-03-01
2026,Jun,Model1,8.97259083049581,4.5,CRD,2026-06-01
2026,Jul,Model1,11.1306566850501,4.5,CRD,2026-07-01
2026,Aug,Model1,12.1115931260013,4.5,CRD,2026-08-01
2026,Sep,Model1,11.4051386860151,4.5,CRD,2026-09-01
2026,Oct,Model1,8.73449356389144,4.5,CRD,2026-10-01
2026,Nov,Model1,4.21017523252088,4.5,CRD,2026-11-01
2026,Dec,Model1,1.71991301416166,4.5,CRD,2026-12-01
2027,Jan,Model1,2.03381005109548,4.5,CRD,2027-01-01
2027,Feb,Model1,2.64520533181744,4.5,CRD,2027-02-01
2027,Mar,Model1,2.53643926635879,4.5,CRD,2027-03-01
2014,Apr,Model1,1.5,4.5,CRD,2014-04-01
2027,Apr,Model1,2.79630525158728,4.5,CRD,2027-04-01
2027,May,Model1,5.32840653548566,4.5,CRD,2027-05-01
2027,Jun,Model1,8.72713195186117,4.5,CRD,2027-06-01
2027,Jul,Model1,11.4828801044327,4.5,CRD,2027-07-01
2027,Aug,Model1,12.0787292696722,4.5,CRD,2027-08-01
2027,Sep,Model1,12.211434995405,4.5,CRD,2027-09-01
2027,Oct,Model1,10.6367212881772,4.5,CRD,2027-10-01
2027,Nov,Model1,7.06042590716641,4.5,CRD,2027-11-01
2027,Dec,Model1,5.40580412841499,4.5,CRD,2027-12-01
2028,Jan,Model1,6.04503772302765,4.5,CRD,2028-01-01
2014,May,Model1,8.46,4.5,CRD,2014-05-01
2028,Feb,Model1,6.0514281953368,4.5,CRD,2028-02-01
2028,Mar,Model1,3.65712325880679,4.5,CRD,2028-03-01
2028,Apr,Model1,4.87545068687035,4.5,CRD,2028-04-01
2028,May,Model1,7.4059391731653,4.5,CRD,2028-05-01
2028,Jun,Model1,9.94789221431202,4.5,CRD,2028-06-01
2028,Jul,Model1,11.6468134547533,4.5,CRD,2028-07-01
2028,Aug,Model1,13.3019601429152,4.5,CRD,2028-08-01
