STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,6/3/2001,3.1,0.5,,,11.1,12.8,8.9,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,6/4/2001,2,3.3,,,10,13.3,6.7,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,6/5/2001,0.7,3.3,,,9.4,13.9,4.4,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,6/6/2001,0.7,6.4,,,10,13.3,6.1,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,6/7/2001,1.2,2,,,8.9,13.3,4.4,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,6/8/2001,1.5,0,,,10,18.3,1.7,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,6/9/2001,1.4,0,,,11.7,21.1,2.2,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,6/10/2001,1.6,0.5,,,10,16.1,3.9,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,6/11/2001,0.8,2,,,8.9,11.7,5.6,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,6/12/2001,1.4,3,,,8.9,12.2,5,0
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,6/13/2001,0.8,0,,,11.7,15,7.8,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,6/14/2001,1,8.6,,,9.4,11.7,6.7,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,6/15/2001,1.6,0.3,,,12.8,17.8,7.2,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,6/16/2001,1.5,0,,,13.3,16.7,9.4,
USW00026410,"CORDOVA AIRPORT, AK US",60.4888,-145.4511,9.4,6/17/2001,1.6,2,,,11.7,13.3,9.4,
